Hard Skill,Category,Subcategory,UAE Count,Standardized Count UAE,US Count,Standardized Count US
Unique Selling Proposition,Marketing and Public Relations,Marketing Strategy and Techniques,54,0.00101713,10,0.00023562
Economic Forecasting,"Economics, Policy, and Social Studies",Economics,54,0.00101713,19,0.00044768
Export Declarations,"Transportation, Supply Chain, and Logistics",General Shipping and Receiving,54,0.00101713,6,0.00014137
Bariatrics,Health Care,Gastroenterology,54,0.00101713,95,0.00223839
Analytical Procedures,Science and Research,General Science and Research,54,0.00101713,22,0.00051836
Trauma Surgery,Health Care,Surgery,54,0.00101713,11,0.00025918
Integration Platforms,Information Technology,Middleware,54,0.00101713,69,0.00162577
Mobility Assistance,Health Care,Mobility Assistance,54,0.00101713,284,0.00669159
Smart Systems,Information Technology,Internet of Things (IoT),54,0.00101713,25,0.00058905
Test Script,Information Technology,Software Quality Assurance,54,0.00101713,81,0.00190852
Business Education,Education and Training,Training Programs,54,0.00101713,21,0.0004948
School Transport,"Transportation, Supply Chain, and Logistics",Ground Passenger Transportation,54,0.00101713,1,0.00002356
Ethernet,Information Technology,General Networking,54,0.00101713,58,0.00136659
Stakeholder Identification,Business,Project Management,54,0.00101713,192,0.00452389
Cumulative Translation Adjustment (CTA),Finance,Financial Reporting,54,0.00101713,9,0.00021206
Shipbuilding,Manufacturing and Production,Transportation Equipment Manufacturing,54,0.00101713,32,0.00075398
Location-Based Services,Information Technology,Geospatial Information and Technology,54,0.00101713,74,0.00174358
IPv6,Information Technology,Network Protocols,54,0.00101713,234,0.0055135
Materials Processing,Engineering,Materials Science and Engineering,54,0.00101713,159,0.00374635
Survey Measurements,Engineering,Surveying and Cartography,54,0.00101713,20,0.00047124
Local Anesthesia,Health Care,Anesthesiology,54,0.00101713,44,0.00103673
Artificial Respiration,Health Care,First Aid,54,0.00101713,1,0.00002356
Collaborative Design,Design,Creative Design,54,0.00101713,45,0.00106029
Analysis Of Variance (ANOVA),Analysis,Statistics,54,0.00101713,83,0.00195564
Radiopharmaceutical Administration,Health Care,Nuclear Medicine,54,0.00101713,30,0.00070686
Integration Platform As A Service (IPaaS),Information Technology,Cloud Solutions,54,0.00101713,68,0.00160221
Institutional Research,Education and Training,Education Administration,54,0.00101713,17,0.00040055
Biomarkers,Health Care,General Medical Tests and Procedures,54,0.00101713,317,0.00746914
Surface Finishing,Manufacturing and Production,Manufacturing Processes,54,0.00101713,37,0.00087179
Trade Promotion Management,Business,Business Strategy,54,0.00101713,56,0.00131947
Executive Leadership,Business,Business Leadership,54,0.00101713,91,0.00214414
Fire-Control Systems,Public Safety and National Security,"Fire Prevention, Safety, and Control",54,0.00101713,129,0.00303949
Cyber Incident Response,Information Technology,Cybersecurity,54,0.00101713,90,0.00212058
Wound Management,Health Care,Injury Treatment,54,0.00101713,88,0.00207345
Tile Cutting,"Maintenance, Repair, and Facility Services",Hand Tools,54,0.00101713,1,0.00002356
Internet Traffics,Marketing and Public Relations,Web Analytics and SEO,54,0.00101713,17,0.00040055
Pulmonary Pleura,Health Care,Pulmonology,54,0.00101713,1,0.00002356
Managed Care,Health Care,Health Care Procedure and Regulation,54,0.00101713,954,0.0224781
Condition-Based Maintenance,"Maintenance, Repair, and Facility Services",Equipment Repair and Maintenance,54,0.00101713,36,0.00084823
Fiscal Policies,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",54,0.00101713,30,0.00070686
Compatibility Testing,"Law, Regulation, and Compliance",Quality Assurance and Control,54,0.00101713,48,0.00113097
Legal Analysis,"Law, Regulation, and Compliance",Legal Support,54,0.00101713,65,0.00153153
Authentication Protocols,Information Technology,Network Protocols,54,0.00101713,161,0.00379347
Shears,"Maintenance, Repair, and Facility Services",Hand Tools,54,0.00101713,26,0.00061261
GIS Mapping,Information Technology,Geospatial Information and Technology,54,0.00101713,41,0.00096604
Data Room,Information Technology,Data Storage,54,0.00101713,22,0.00051836
Bank Secrecy Act,Finance,Financial Regulation,54,0.00101713,393,0.00925985
Decision Making Software,Business,Business Analysis,54,0.00101713,108,0.00254469
GPS Navigation Software,Information Technology,Geospatial Information and Technology,53,0.00099829,7,0.00016493
Braising (Cooking),Hospitality and Food Services,Food and Beverage,53,0.00099829,14,0.00032987
Property Accounting,Property and Real Estate,Property Management,53,0.00099829,131,0.00308662
Medical Necessity,Health Care,Health Care Procedure and Regulation,53,0.00099829,752,0.01771859
Intelligence Agency,Public Safety and National Security,Intelligence Collection and Analysis,53,0.00099829,80,0.00188496
Cisco Unified Communications Manager,Information Technology,Telecommunications,53,0.00099829,99,0.00233263
Virtual Event,Hospitality and Food Services,Events and Conferences,53,0.00099829,36,0.00084823
Autoclaves,Health Care,Medical Equipment and Technology,53,0.00099829,73,0.00172002
Ready Mix Concrete,Architecture and Construction,Concrete and Masonry,53,0.00099829,251,0.00591405
Stakeholder Training,Business,Project Management,53,0.00099829,24,0.00056549
Accounts Payable Processing,Finance,Accounts Payable and Receivable,53,0.00099829,111,0.00261538
Arterial Blood Gas Analysis,Health Care,Physical Therapy,53,0.00099829,84,0.0019792
Carbon Management,Environment,Air Quality and Emissions,53,0.00099829,7,0.00016493
Pharynx,Health Care,"Ear, Nose, and Throat",53,0.00099829,10,0.00023562
Statistical Programming,Analysis,Statistical Software,53,0.00099829,111,0.00261538
Instructor-Led Training,Education and Training,Training Programs,53,0.00099829,64,0.00150796
Marketing Brochures,Marketing and Public Relations,Promotions and Campaigns,53,0.00099829,1,0.00002356
Well Drilling,Energy and Utilities,Oil and Gas,53,0.00099829,4,0.00009425
Carpeting,"Maintenance, Repair, and Facility Services",Cleaning and Janitorial Services,53,0.00099829,8,0.0001885
Operating Margins,Finance,Cost Accounting,53,0.00099829,46,0.00108385
Body Contouring,Health Care,Dermatology,53,0.00099829,12,0.00028274
Architecture Framework,Information Technology,System Design and Implementation,53,0.00099829,89,0.00209701
Emergency Nursing,Health Care,Emergency and Intensive Care,53,0.00099829,85,0.00200277
Programming Concepts,Information Technology,Computer Science,53,0.00099829,114,0.00268606
Presentation Training,Education and Training,Training Programs,53,0.00099829,31,0.00073042
Constructivism,Education and Training,Childhood Education and Development,53,0.00099829,2,0.00004712
Lymphatic Systems,Science and Research,Biology,53,0.00099829,3,0.00007069
Satellite Communications,Information Technology,Telecommunications,53,0.00099829,106,0.00249757
Computer Maintenance,Information Technology,Basic Technical Knowledge,53,0.00099829,27,0.00063617
Commercial Off-the-Shelf,Information Technology,Software Development,53,0.00099829,323,0.00761051
Job Control Language (JCL),Information Technology,Mainframe Technologies,53,0.00099829,294,0.00692721
Optics,Engineering,Optical Engineering,53,0.00099829,502,0.0118281
z/OS,Information Technology,Mainframe Technologies,53,0.00099829,299,0.00704502
Code Comments,Information Technology,Software Development,52,0.00097946,469,0.01105055
Security Analysis,Finance,Investment Management,52,0.00097946,116,0.00273319
FactSet (Analytics Software),Finance,Financial Trading,52,0.00097946,40,0.00094248
Fractionation,Science and Research,Laboratory Research,52,0.00097946,12,0.00028274
Current Assets,Finance,General Finance,52,0.00097946,28,0.00065973
SWOT Analysis,Business,Business Strategy,52,0.00097946,20,0.00047124
Cross-Channel Marketing,Marketing and Public Relations,Marketing Strategy and Techniques,52,0.00097946,50,0.0011781
Deterministic Methods,Analysis,Mathematics and Mathematical Modeling,52,0.00097946,76,0.00179071
Policy Proposal,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",52,0.00097946,7,0.00016493
Container Security,Information Technology,Cybersecurity,52,0.00097946,146,0.00344004
Spectrophotometry,Science and Research,Laboratory Research,52,0.00097946,17,0.00040055
Distributed Generation,Energy and Utilities,Electrical Power,52,0.00097946,170,0.00400553
Motor Controllers,"Maintenance, Repair, and Facility Services",Basic Electrical Systems,52,0.00097946,190,0.00447677
Search Advertising,Marketing and Public Relations,Online Advertising,52,0.00097946,14,0.00032987
Application Environments,Information Technology,Software Development,52,0.00097946,171,0.00402909
Reference Books,Education and Training,Library and Archiving,52,0.00097946,26,0.00061261
Automotive Detailing,"Maintenance, Repair, and Facility Services",Vehicle Repair and Maintenance,52,0.00097946,144,0.00339292
Webflow,Information Technology,Web Design and Development,52,0.00097946,86,0.00202633
Continuous Production,Manufacturing and Production,Lean Manufacturing,52,0.00097946,55,0.00129591
Digital Single-Lens Reflex Cameras,Media and Communications,Photo/Video Production and Technology,52,0.00097946,9,0.00021206
SharePoint Framework (SPFx),Information Technology,Integrated Development Environments (IDEs),52,0.00097946,49,0.00115454
3D Scanning,Engineering,Drafting and Engineering Design,52,0.00097946,24,0.00056549
Budget Cycle,Finance,Budget Management,52,0.00097946,12,0.00028274
Manlifts,Architecture and Construction,Heavy Equipment Operation,52,0.00097946,32,0.00075398
Resource Management Systems,Business,Business Management,52,0.00097946,24,0.00056549
White-Box Testing,Information Technology,Software Quality Assurance,52,0.00097946,82,0.00193208
Data Hub,Information Technology,Data Management,52,0.00097946,66,0.00155509
Dietary Supplements,Health Care,Nutrition and Diet,52,0.00097946,51,0.00120166
Process Transformation,Business,Business Operations,52,0.00097946,69,0.00162577
Leukemia,Health Care,Oncology,52,0.00097946,10,0.00023562
Design Tool,Design,Creative Design,52,0.00097946,74,0.00174358
Wound Assessment,Health Care,Injury Treatment,52,0.00097946,175,0.00412334
Adobe Creative Cloud,Design,Graphic and Visual Design Software,52,0.00097946,62,0.00146084
Video Streaming,Media and Communications,Streaming Media Systems,52,0.00097946,179,0.00421759
Tillage,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,52,0.00097946,28,0.00065973
Network Address Translation,Information Technology,General Networking,52,0.00097946,136,0.00320443
Signal Generators,Engineering,Signal Processing,52,0.00097946,391,0.00921272
Metabolism,Health Care,Nutrition and Diet,52,0.00097946,13,0.00030631
Biological Engineering,Science and Research,Biotechnology,52,0.00097946,52,0.00122522
Akamai,Information Technology,Servers,52,0.00097946,72,0.00169646
Financial Calculations,Finance,General Accounting,52,0.00097946,37,0.00087179
International Swaps And Derivatives Association (ISDA),Finance,Financial Trading,52,0.00097946,42,0.0009896
Adverse Drug Reactions,Health Care,General Medicine,52,0.00097946,21,0.0004948
Code Testing,Information Technology,Software Quality Assurance,52,0.00097946,73,0.00172002
Salinity,Science and Research,Chemistry,52,0.00097946,1,0.00002356
Steam Generators,Manufacturing and Production,Machinery,52,0.00097946,14,0.00032987
Sanity Testing,Information Technology,Software Quality Assurance,52,0.00097946,17,0.00040055
Business Intelligence Development,Analysis,Business Intelligence,52,0.00097946,50,0.0011781
PTC Creo (CAD Suite),Engineering,Engineering Software,52,0.00097946,614,0.01446704
Prospect Meetings,Sales,Prospecting and Qualification,52,0.00097946,69,0.00162577
Property Ownership,Property and Real Estate,Property Management,52,0.00097946,19,0.00044768
Honing,Manufacturing and Production,Metal Fabrication,51,0.00096062,32,0.00075398
Fuel Pumps,"Maintenance, Repair, and Facility Services",Vehicle Repair and Maintenance,51,0.00096062,35,0.00082467
Docketing (Court),"Law, Regulation, and Compliance",Legal Proceedings,51,0.00096062,164,0.00386416
NetBackup,Uncategorized,Uncategorized,51,0.00096062,48,0.00113097
Apache ActiveMQ,Information Technology,Middleware,51,0.00096062,104,0.00245044
Okta,Information Technology,Identity and Access Management,51,0.00096062,444,0.01046151
Fund Disbursement,Finance,General Lending,51,0.00096062,42,0.0009896
Dental Impressions,Health Care,Oral and Dental Care,51,0.00096062,5,0.00011781
Evidence Preservation,"Law, Regulation, and Compliance",Criminal Investigation and Forensics,51,0.00096062,74,0.00174358
Sleep Medicine,Health Care,General Medicine,51,0.00096062,64,0.00150796
Medicare,Health Care,Health Care Procedure and Regulation,51,0.00096062,1890,0.04453208
Oil Rig,Energy and Utilities,Oil and Gas,51,0.00096062,1,0.00002356
Land Use,"Economics, Policy, and Social Studies",Urban and Regional Planning,51,0.00096062,56,0.00131947
Netscaler,Information Technology,Software Development Tools,51,0.00096062,84,0.0019792
Downstream Processing,Science and Research,Pharmacology and Drug Discovery,51,0.00096062,60,0.00141372
Availability Management,Information Technology,IT Management,51,0.00096062,22,0.00051836
Integrated Development Environments,Information Technology,Integrated Development Environments (IDEs),51,0.00096062,291,0.00685653
Vehicle Armour,Public Safety and National Security,Military Technology and Weapons,51,0.00096062,2,0.00004712
Advertising Copywriting,Marketing and Public Relations,Advertising,51,0.00096062,14,0.00032987
Liquor License (Alcohol Law),Hospitality and Food Services,Food and Beverage,51,0.00096062,10,0.00023562
Case Management Tools,Business,Project Management,51,0.00096062,70,0.00164934
Solvent,Science and Research,"Elements, Compounds, and Materials",51,0.00096062,24,0.00056549
Ductility,Engineering,Materials Science and Engineering,51,0.00096062,76,0.00179071
Squeegee,"Maintenance, Repair, and Facility Services",Hand Tools,51,0.00096062,22,0.00051836
Electronic Reporting Systems,Information Technology,Data Management,51,0.00096062,19,0.00044768
Credit Risk Modeling,Finance,Financial Modeling,51,0.00096062,21,0.0004948
Workers' Compensation,Human Resources,Compensation and Benefits,51,0.00096062,1196,0.02818009
Sculpture,Design,Art and Illustration,51,0.00096062,39,0.00091892
Audio Equipment,Media and Communications,Audio Production and Technology,51,0.00096062,15,0.00035343
Aquaculture,"Agriculture, Horticulture, and Landscaping",Aquaculture,51,0.00096062,7,0.00016493
Siebel CRM,Business,Customer Relationship Management (CRM),51,0.00096062,22,0.00051836
Film Studies,"Economics, Policy, and Social Studies",Social Studies,51,0.00096062,6,0.00014137
Custom Scripting,Information Technology,Scripting,51,0.00096062,161,0.00379347
Assisted Living,Health Care,Home Health Care and Assisted Living,51,0.00096062,1882,0.04434359
Self Defense,Public Safety and National Security,Safety and Security,51,0.00096062,54,0.00127235
Experimental Design,Uncategorized,Uncategorized,51,0.00096062,121,0.002851
VxLAN (Virtual Extensible LAN),Information Technology,Virtualization and Virtual Machines,51,0.00096062,135,0.00318086
SciPy,Science and Research,Science Software,51,0.00096062,154,0.00362854
Sailing,"Performing Arts, Sports, and Recreation",Sports and Recreation,51,0.00096062,1,0.00002356
Dough Preparation,Hospitality and Food Services,Food and Beverage,51,0.00096062,7,0.00016493
Breast Imaging,Health Care,Medical Imaging,51,0.00096062,25,0.00058905
Demand Modeling,Business,Business Analysis,51,0.00096062,4,0.00009425
Tunnel Design,Engineering,Roads and Drainage,51,0.00096062,4,0.00009425
Verilog,Engineering,Hardware Description Languages (HDL),51,0.00096062,602,0.01418429
Sediment Transport,Engineering,Geological Engineering,51,0.00096062,12,0.00028274
Network Time Protocols,Information Technology,Network Protocols,51,0.00096062,155,0.0036521
Library,Education and Training,Library and Archiving,51,0.00096062,11,0.00025918
Smart Meter Systems,Energy and Utilities,Energy Management,51,0.00096062,45,0.00106029
Train Operation,"Transportation, Supply Chain, and Logistics",Rail Transportation,51,0.00096062,40,0.00094248
Auditions,"Performing Arts, Sports, and Recreation",Theatre and Performance Art,51,0.00096062,16,0.00037699
Casualty Insurance,Finance,Insurance,50,0.00094179,291,0.00685653
Plesiochronous Digital Hierarchy,Information Technology,Telecommunications,50,0.00094179,16,0.00037699
Structural Materials,Engineering,Civil and Architectural Engineering,50,0.00094179,35,0.00082467
Concept Of Operations,Information Technology,System Design and Implementation,50,0.00094179,556,0.01310044
SAP Financial Management,Finance,Financial Management,50,0.00094179,26,0.00061261
Real Time Payments,Finance,Banking Services,50,0.00094179,95,0.00223839
Hearing Disorders,Health Care,"Ear, Nose, and Throat",50,0.00094179,191,0.00450033
Thermal Analysis,Engineering,Materials Science and Engineering,50,0.00094179,190,0.00447677
Automotive Lighting,"Maintenance, Repair, and Facility Services",Vehicle Repair and Maintenance,50,0.00094179,2,0.00004712
Web Tools,Information Technology,Web Design and Development,50,0.00094179,44,0.00103673
Requirements Traceability,Information Technology,Software Development,50,0.00094179,150,0.00353429
Fertilizer Application,"Agriculture, Horticulture, and Landscaping",Landscaping and Horticulture,50,0.00094179,16,0.00037699
Pipeline Reporting,Sales,Sales Analysis,50,0.00094179,34,0.00080111
VHSIC Hardware Description Language (VHDL),Engineering,Hardware Description Languages (HDL),50,0.00094179,443,0.01043794
Languages Of Asia,Media and Communications,Language Competency,50,0.00094179,7,0.00016493
De-escalation Techniques,Media and Communications,Communication,50,0.00094179,623,0.01467909
Mobile Device Management,Information Technology,IT Management,50,0.00094179,85,0.00200277
Cyber Kill Chain Framework,Information Technology,Cybersecurity,50,0.00094179,66,0.00155509
Lead Time Reduction,Business,Process Improvement and Optimization,50,0.00094179,36,0.00084823
Cable Television,Information Technology,Telecommunications,50,0.00094179,145,0.00341648
Player Coach,Business,People Management,50,0.00094179,238,0.00560774
Google Kubernetes Engine (GKE),Information Technology,IT Automation,50,0.00094179,169,0.00398197
Boolean Search,Information Technology,Computer Science,50,0.00094179,35,0.00082467
Radio-Frequency Identification,Engineering,Radio Frequency (RF),50,0.00094179,12,0.00028274
Acute Medicine,Health Care,Emergency and Intensive Care,50,0.00094179,16,0.00037699
Expansion Joint,Architecture and Construction,General Construction and Construction Labor,50,0.00094179,59,0.00139016
Public Company Accounting Oversight Board,Finance,Financial Regulation,50,0.00094179,24,0.00056549
CPanel,Information Technology,Web Services,50,0.00094179,7,0.00016493
Linear Algebra,Analysis,Mathematics and Mathematical Modeling,50,0.00094179,232,0.00546637
Social Policy,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",50,0.00094179,13,0.00030631
Consumer Promotions,Marketing and Public Relations,Promotions and Campaigns,50,0.00094179,8,0.0001885
Advanced Product Quality Planning,Manufacturing and Production,Manufacturing Standards,50,0.00094179,207,0.00487732
Environmental Tests,Engineering,Engineering Practices,50,0.00094179,84,0.0019792
High-Level Architecture,Information Technology,Software Development,50,0.00094179,77,0.00181427
Still Life,Design,Art and Illustration,50,0.00094179,9,0.00021206
Principal Component Analysis,Analysis,Statistics,49,0.00092295,6,0.00014137
File Naming,Administration,Document Management,49,0.00092295,14,0.00032987
Window Treatments,Architecture and Construction,Interior Design,49,0.00092295,27,0.00063617
Business Process Model And Notation,Business,Business Consulting,49,0.00092295,67,0.00157865
Plasma (Physics),Science and Research,Physics,49,0.00092295,34,0.00080111
Event Monitoring,Information Technology,Cybersecurity,49,0.00092295,78,0.00183783
Economic Sanctions,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",49,0.00092295,69,0.00162577
Business Mathematics,Analysis,Mathematics and Mathematical Modeling,49,0.00092295,110,0.00259181
Strategic Resources,Finance,Financial Analysis,49,0.00092295,94,0.00221482
Inert Gas,Science and Research,"Elements, Compounds, and Materials",49,0.00092295,12,0.00028274
Siemens PLC,Manufacturing and Production,Computer-Aided Manufacturing,49,0.00092295,24,0.00056549
Pneumatic Tools,"Maintenance, Repair, and Facility Services",Power Tools,49,0.00092295,186,0.00438252
Residential Painting,Architecture and Construction,Construction Painting,49,0.00092295,13,0.00030631
International Traffic In Arms Regulations,"Law, Regulation, and Compliance",Regulation and Legal Compliance,49,0.00092295,726,0.01710598
Superuser,Information Technology,Systems Administration,49,0.00092295,7,0.00016493
Tender Offer,Finance,Mergers and Acquisitions,49,0.00092295,3,0.00007069
Aircraft Interiors,"Maintenance, Repair, and Facility Services",General Repairs and Maintenance,49,0.00092295,20,0.00047124
Brocade Network Technologies,Information Technology,Networking Hardware,49,0.00092295,111,0.00261538
Laser Cutting,Manufacturing and Production,Manufacturing Processes,49,0.00092295,41,0.00096604
Civil Engineering Software,Engineering,Engineering Software,49,0.00092295,22,0.00051836
Rexx (Programming Language),Information Technology,Scripting Languages,49,0.00092295,111,0.00261538
Geophysical Surveys,Engineering,Surveying and Cartography,49,0.00092295,17,0.00040055
Microsoft Windows Server Administration,Information Technology,Systems Administration,49,0.00092295,104,0.00245044
Shopper Marketing,Marketing and Public Relations,Brand Management,49,0.00092295,31,0.00073042
Hemorrhage Control,Health Care,Hematology,49,0.00092295,105,0.002474
Public Financial Management,Finance,Financial Management,49,0.00092295,4,0.00009425
Vaccines,Health Care,Public Health and Disease Prevention,49,0.00092295,27,0.00063617
Colocation,Information Technology,Cloud Solutions,49,0.00092295,150,0.00353429
Oracle Essbase,Information Technology,Data Management,49,0.00092295,63,0.0014844
Coolants,"Maintenance, Repair, and Facility Services",HVAC,49,0.00092295,79,0.00186139
Java Full Stack Development,Information Technology,Software Development,49,0.00092295,152,0.00358142
Cochlear Implants,Health Care,"Ear, Nose, and Throat",49,0.00092295,2,0.00004712
Valuation Using Multiples,Finance,Financial Analysis,49,0.00092295,13,0.00030631
Health And Wellness Coaching,Health Care,Mental Health Therapies,49,0.00092295,418,0.00984889
Automated External Defibrillator,Health Care,Emergency and Intensive Care,49,0.00092295,36,0.00084823
Risk Measure,Business,Risk Management,49,0.00092295,26,0.00061261
Autoscaling,Information Technology,Cloud Computing,49,0.00092295,172,0.00405266
Amazon DocumentDB,Information Technology,Databases,49,0.00092295,26,0.00061261
Generative Adversarial Networks,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),49,0.00092295,109,0.00256825
Travel Health,Health Care,General Medicine,49,0.00092295,18,0.00042412
Production Function,Manufacturing and Production,Plant Operations and Management,48,0.00090412,7,0.00016493
BrandWatch,Marketing and Public Relations,Web Analytics and SEO,48,0.00090412,40,0.00094248
Yii PHP Framework,Information Technology,Scripting Languages,48,0.00090412,1,0.00002356
Decision Science,Analysis,Data Science,48,0.00090412,68,0.00160221
Cloud Automation,Information Technology,IT Automation,48,0.00090412,150,0.00353429
Universal Asynchronous Receiver/Transmitter,Information Technology,Computer Hardware,48,0.00090412,344,0.00810531
Extracorporeal Membrane Oxygenation (ECMO),Health Care,Emergency and Intensive Care,48,0.00090412,33,0.00077754
Web Services Description Language,Information Technology,Web Services,48,0.00090412,128,0.00301593
Cargo Systems,"Transportation, Supply Chain, and Logistics",Transportation Security,48,0.00090412,5,0.00011781
Capability Maturity Model,Business,Process Improvement and Optimization,48,0.00090412,86,0.00202633
Security Studies,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",48,0.00090412,26,0.00061261
Protocol Stack,Information Technology,Network Protocols,48,0.00090412,114,0.00268606
Development Studies,Education and Training,Childhood Education and Development,48,0.00090412,18,0.00042412
Structured Programming,Information Technology,Software Development,48,0.00090412,33,0.00077754
Multiphysics,Science and Research,Physics,48,0.00090412,72,0.00169646
First Article Inspections,Manufacturing and Production,Product Inspection,48,0.00090412,178,0.00419403
Eating Disorder Treatment,Health Care,Mental Health Therapies,48,0.00090412,119,0.00280387
Dozer,Architecture and Construction,Heavy Equipment Operation,48,0.00090412,33,0.00077754
Electronic Warfare,Engineering,Electrical and Computer Engineering,48,0.00090412,387,0.00911847
Moodle,Education and Training,Education Software and Technology,48,0.00090412,32,0.00075398
Fragrance Development,Manufacturing and Production,Product Development,48,0.00090412,2,0.00004712
Group Exercise Instruction,"Performing Arts, Sports, and Recreation",Coaching and Athletic Training,48,0.00090412,14,0.00032987
Organic Chemistry,Science and Research,Chemistry,48,0.00090412,53,0.00124878
Applied Behavior Analysis,Health Care,Mental and Behavioral Health Specialties,48,0.00090412,920,0.02167699
Executive Sponsor,Business,Project Management,48,0.00090412,267,0.00629104
Persona Development,Marketing and Public Relations,Marketing Strategy and Techniques,48,0.00090412,52,0.00122522
Extended Reality,Information Technology,Augmented and Virtual Reality (AR/VR),48,0.00090412,53,0.00124878
SAP Treasury And Risk Management,Finance,Financial Management,48,0.00090412,17,0.00040055
Aruba ClearPass,Information Technology,Network Security,48,0.00090412,35,0.00082467
SQL*Loader,Information Technology,"Extraction, Transformation, and Loading (ETL)",48,0.00090412,23,0.00054192
Conveyancing,"Law, Regulation, and Compliance",Property Law,48,0.00090412,3,0.00007069
Manufacturing Execution System (MES),Manufacturing and Production,Manufacturing Processes,48,0.00090412,393,0.00925985
Biography,Media and Communications,Literature and Literary Studies,48,0.00090412,8,0.0001885
Tooling Design,Engineering,Mechanical Engineering,48,0.00090412,381,0.0089771
Material Balance Planning,Engineering,Process Engineering,48,0.00090412,7,0.00016493
Dynamic Trunking Protocol,Information Technology,Network Protocols,48,0.00090412,35,0.00082467
Field Research,Science and Research,General Science and Research,48,0.00090412,135,0.00318086
Coronal Polishing,Health Care,Oral and Dental Care,48,0.00090412,18,0.00042412
Sniffers,Information Technology,Network Security,48,0.00090412,42,0.0009896
Joint Value,Business,Business Analysis,48,0.00090412,17,0.00040055
Screen Reader,Information Technology,Web Design and Development,48,0.00090412,190,0.00447677
Open Database Connectivity,Information Technology,Software Development,48,0.00090412,59,0.00139016
Examination Room Preparation,Health Care,Medical Support,48,0.00090412,33,0.00077754
Resilience Planning,Business,Business Continuity,48,0.00090412,59,0.00139016
Quick Response Manufacturing,Manufacturing and Production,Lean Manufacturing,48,0.00090412,24,0.00056549
Travel Demand Modeling,Engineering,Civil and Architectural Engineering,48,0.00090412,9,0.00021206
Distributed Network Protocol (DNP3),Information Technology,Network Protocols,48,0.00090412,103,0.00242688
Supply Chain Metrics,"Transportation, Supply Chain, and Logistics",Supply Chain Management,48,0.00090412,18,0.00042412
Deboning,Manufacturing and Production,Food Science and Processing,48,0.00090412,6,0.00014137
Apple Cocoa,Information Technology,Software Development Tools,48,0.00090412,24,0.00056549
Vehicle Tracking Systems,Engineering,Automotive Technologies,48,0.00090412,6,0.00014137
Wearables,Information Technology,Internet of Things (IoT),48,0.00090412,155,0.0036521
Web Processing Service,Information Technology,Web Services,48,0.00090412,2,0.00004712
Data Synchronization,Information Technology,Data Management,48,0.00090412,85,0.00200277
Intercompany Accounting,Finance,Specialized Accounting,48,0.00090412,65,0.00153153
Docker Container,Information Technology,Software Development Tools,48,0.00090412,54,0.00127235
Hospital Pharmacy,Health Care,Pharmacy,48,0.00090412,42,0.0009896
Fallback,Business,Performance Management,48,0.00090412,24,0.00056549
Business Science,Business,Business Analysis,48,0.00090412,35,0.00082467
Memory Systems,Information Technology,Computer Hardware,48,0.00090412,42,0.0009896
Istio,Information Technology,Systems Administration,48,0.00090412,198,0.00466527
Energy Policy,Energy and Utilities,Energy Management,47,0.00088528,46,0.00108385
Windows Security,Information Technology,Microsoft Windows,47,0.00088528,27,0.00063617
Checkmarx,Information Technology,Cybersecurity,47,0.00088528,112,0.00263894
Object Storage,Information Technology,Data Storage,47,0.00088528,71,0.0016729
Security Log,Information Technology,Log Management,47,0.00088528,22,0.00051836
Fiberglass,Science and Research,"Elements, Compounds, and Materials",47,0.00088528,117,0.00275675
Space Technology,Engineering,Aerospace Engineering,47,0.00088528,236,0.00556062
Cost Of Capital,Finance,Investment Management,47,0.00088528,6,0.00014137
Corporate Design,Design,Graphic and Visual Design,47,0.00088528,24,0.00056549
Spring Data,Information Technology,Software Development Tools,47,0.00088528,112,0.00263894
Transmission System Operator,Energy and Utilities,Energy Management,47,0.00088528,74,0.00174358
Network Service,Information Technology,General Networking,47,0.00088528,65,0.00153153
Staging Area,Architecture and Construction,Construction Management,47,0.00088528,285,0.00671516
Oracle GoldenGate,Information Technology,Database Architecture and Administration,47,0.00088528,59,0.00139016
HTML Emails,Information Technology,Web Design and Development,47,0.00088528,20,0.00047124
Tcpdump,Information Technology,Network Security,47,0.00088528,88,0.00207345
Hot Standby Router Protocol,Information Technology,Network Protocols,47,0.00088528,76,0.00179071
Ventilator Management,Health Care,Pulmonology,47,0.00088528,56,0.00131947
Dynamic Light Scattering,Science and Research,Physics,47,0.00088528,32,0.00075398
Bluecoat Proxies,Information Technology,Network Security,47,0.00088528,26,0.00061261
Video Marketing,Marketing and Public Relations,Digital Marketing,47,0.00088528,15,0.00035343
Web UI Design,Design,User Interface and User Experience (UI/UX) Design,47,0.00088528,13,0.00030631
Closing Entries,Finance,General Accounting,47,0.00088528,21,0.0004948
Collective Bargaining,Human Resources,Employee Relations,47,0.00088528,942,0.02219536
Passenger Information,"Transportation, Supply Chain, and Logistics",Transportation Operations,47,0.00088528,7,0.00016493
Multicasting,Information Technology,General Networking,47,0.00088528,150,0.00353429
